"","ano","mes","mes_inter_int","month_inter","regiao","avg_temp_ar_new","avg_temp_max_new","avg_temp_min_new","median_temp_ar","median_temp_max","median_temp_min"
"1",2012,1,"2012-01","Jan","CO",24.6894270306333,25.3285932638262,24.0805951940571,24.7664454702828,25.3821499668216,24.2207973102786
"2",2012,1,"2012-01","Jan","N",25.7110555081898,26.2424971488244,25.2158678430639,25.7426776220396,26.2928218932257,25.2182314952807
"3",2012,1,"2012-01","Jan","NE",26.3515495166085,26.9851060053895,25.7618217985011,26.4535531222506,27.0698272884225,25.8719511068473
"4",2012,1,"2012-01","Jan","S",22.8584748950007,23.5150352224524,22.2405027701995,23.3573638197714,23.9995740865277,22.7386120591581
"5",2012,1,"2012-01","Jan","SE",23.7292281401827,24.3836909248222,23.1123641510292,24.2166499964146,24.8700596041672,23.5686940443137
"6",2012,2,"2012-02","Feb","CO",24.8447808026341,25.4979079060606,24.2269398440845,25.0370798319328,25.6505551443375,24.3748328974136
"7",2012,2,"2012-02","Feb","N",25.5284376186505,26.0499225009357,25.0447696130771,25.6242476566355,26.149596212754,25.097528423134
"8",2012,2,"2012-02","Feb","NE",26.2914095808796,26.9165063751265,25.7085077206377,26.4212524654833,27.0166022995379,25.8150414812385
"9",2012,2,"2012-02","Feb","S",23.3050641021415,23.9420278679004,22.7111120600333,23.7452802359882,24.3806714391509,23.1588519177038
"10",2012,2,"2012-02","Feb","SE",24.3795142080344,25.1077531290892,23.6960428671222,24.7793429078735,25.5556872058984,24.0364584097256
"11",2012,3,"2012-03","Mar","CO",24.7666040782119,25.4072974830514,24.1590520270768,24.9355623168176,25.5800626031646,24.3151311672011
"12",2012,3,"2012-03","Mar","N",25.8137154652998,26.3469048763094,25.3144511438551,25.9877335133918,26.5293640054127,25.4595962639348
"13",2012,3,"2012-03","Mar","NE",26.4530764774029,27.0770266600995,25.8673329837149,26.5729487725166,27.1542801110062,26.0034792982438
"14",2012,3,"2012-03","Mar","S",21.4407511821242,22.064303464624,20.8498043387518,21.7135754326103,22.4207798383262,21.1172888015717
"15",2012,3,"2012-03","Mar","SE",23.4595763370076,24.0956346924295,22.8670385108955,23.8956355504256,24.5251654934117,23.3129556832773
"16",2012,4,"2012-04","Apr","CO",24.1805432896626,24.8422789291862,23.5512786424941,24.2540174447784,24.9433750879691,23.6292612131225
"17",2012,4,"2012-04","Apr","N",25.9505112310052,26.4900529864979,25.444243020815,26.0431356620633,26.5608900523561,25.5146765592395
"18",2012,4,"2012-04","Apr","NE",25.8959945797124,26.4926716786596,25.3362351816571,26.1044718564293,26.6756252028563,25.5351418847464
"19",2012,4,"2012-04","Apr","S",19.2413152388539,19.8612860637806,18.6648066621031,19.201027317301,19.8715386411394,18.5796637870651
"20",2012,4,"2012-04","Apr","SE",21.9897429272162,22.633757143177,21.3885293894694,22.2937402999768,22.9470045568342,21.6909477469565
"21",2012,5,"2012-05","May","CO",22.5525726827002,23.2527353071703,21.8819596908726,22.2133879003677,22.983022334554,21.5368976527965
"22",2012,5,"2012-05","May","N",25.9459982316766,26.504209143744,25.4241256164914,26.0606182795699,26.5797669728881,25.552254160363
"23",2012,5,"2012-05","May","NE",25.2748146083069,25.8602146034814,24.7262460589624,25.822358884163,26.4721102150537,25.196123271459
"24",2012,5,"2012-05","May","S",16.2473149977084,16.8016388184743,15.7187630029092,15.9840501792114,16.5257991442235,15.4646940147948
"25",2012,5,"2012-05","May","SE",19.8061047292886,20.4717244604117,19.1748844600654,19.9967245826798,20.7291658723519,19.3678261863654
"26",2012,6,"2012-06","Jun","CO",21.9406257328922,22.6763312214296,21.2252031860564,21.7638710582651,22.4981586719336,21.0226066307987
"27",2012,6,"2012-06","Jun","N",25.9245500822322,26.5395320879925,25.3378841158721,26.0658223889931,26.7325574873808,25.4413917382867
"28",2012,6,"2012-06","Jun","NE",24.639856349207,25.2569807246176,24.0552223537135,25.108404226353,25.7383199273622,24.4943827662472
"29",2012,6,"2012-06","Jun","S",14.0778508438488,14.5940557702985,13.5756339288093,13.5755585831063,14.0747716281569,13.0791166848419
"30",2012,6,"2012-06","Jun","SE",18.8286252861671,19.5011197688288,18.1843094540312,19.2526447862889,19.9572410539382,18.5685162742647
"31",2012,7,"2012-07","Jul","CO",21.7775866383531,22.5972878453029,20.9772356922409,21.7582017864248,22.6067257234759,20.8941182854235
"32",2012,7,"2012-07","Jul","N",25.8323889258679,26.4972301782547,25.1953951065461,26.0320035858359,26.6409274193549,25.407885021097
"33",2012,7,"2012-07","Jul","NE",24.2537712645784,24.899666657689,23.6364501206135,24.4044549336101,25.0285613245508,23.8391251299843
"34",2012,7,"2012-07","Jul","S",13.673078969051,14.2149999565474,13.1503032606046,13.1807049254406,13.7513724502644,12.6333032083145
"35",2012,7,"2012-07","Jul","SE",18.8790883095569,19.5859669527512,18.1970673830777,19.320541149808,19.9840131068443,18.6646017171186
"36",2012,8,"2012-08","Aug","CO",23.3989630819757,24.3100902812909,22.5059756244612,23.3644685653864,24.2862971875774,22.4530889378719
"37",2012,8,"2012-08","Aug","N",26.5972542473146,27.3157177204367,25.9110222759722,26.5854285423437,27.3560283681974,25.8561116107256
"38",2012,8,"2012-08","Aug","NE",24.6545808633436,25.3428216457003,23.994710632197,24.9088500620374,25.5237643108951,24.2245018955361
"39",2012,8,"2012-08","Aug","S",15.552392317335,16.1431328350708,14.9798140131469,15.2575342465753,15.908176100629,14.7053069485046
"40",2012,8,"2012-08","Aug","SE",19.7381573682686,20.5156221123866,18.9869572053992,20.5551761357345,21.2226126361705,19.7870407880359
