"","ano","mes","mes_inter_int","month_inter","avg_temp_ar_new","avg_temp_max_new","avg_temp_min_new","median_temp_ar","median_temp_max","median_temp_min"
"1",2012,1,"2012-01","Jan",24.7432316264494,25.3732167461386,24.1512587965309,25.1518493611298,25.7955555555556,24.5338593327322
"2",2012,2,"2012-02","Feb",24.9620359103294,25.6051138623433,24.3600835354109,25.329095209935,25.9400049541738,24.7365654205608
"3",2012,3,"2012-03","Mar",24.4922032803448,25.1100289792132,23.9114053916126,25.0271134791675,25.6670416962333,24.4592468703027
"4",2012,4,"2012-04","Apr",23.523311154739,24.1395271036463,22.9452430576604,24.2850976263346,24.9141625761678,23.6904517061963
"5",2012,5,"2012-05","May",22.0227438796171,22.639205952643,21.4392539827348,22.6579709485227,23.3043670576735,22.1184050179212
"6",2012,6,"2012-06","Jun",21.1290275485282,21.7633558293148,20.5202285287698,21.8329138086305,22.4314854176667,21.285620077005
"7",2012,7,"2012-07","Jul",20.9442100310855,21.6208973573051,20.2918419720377,21.4000482436432,22.0502854398879,20.7652428922474
"8",2012,8,"2012-08","Aug",21.9857200533357,22.7229260531594,21.27333535198,22.1444679849341,23.0145143114717,21.3735500650195
"9",2012,9,"2012-09","Sep",23.5331383680148,24.2490774962818,22.8477679410445,24.1955776800185,24.9439323761,23.4141076886904
"10",2012,10,"2012-10","Oct",24.2428831060248,24.9129290849947,23.6134259894908,24.8254985754987,25.5351601262969,24.2002700270027
"11",2012,11,"2012-11","Nov",24.4776457337807,25.1134111047645,23.8817306702173,24.8840840840841,25.5096064814815,24.2701145311382
"12",2012,12,"2012-12","Dec",24.9036580069534,25.5332486362854,24.3146166946256,25.2664712778429,25.892445482866,24.7146511627907
"13",2013,1,"2013-01","Jan",24.7459399825672,25.3755716957603,24.1543613014534,25.1188811188811,25.7490358744394,24.527923681257
"14",2013,2,"2013-02","Feb",24.9535969026421,25.5957363017162,24.3525998165713,25.2990299110752,25.9112728169708,24.7281028368795
"15",2013,3,"2013-03","Mar",24.485198419763,25.1021893627282,23.9051174966811,25.0175640324239,25.6625204282383,24.4564670040846
"16",2013,4,"2013-04","Apr",23.5259754703673,24.1417615433744,22.9483508336511,24.2850976263346,24.9141625761678,23.6795675774458
"17",2013,5,"2013-05","May",22.0342152746292,22.6508899382885,21.4506332677062,22.678509571339,23.3367960969324,22.1290456989247
"18",2013,6,"2013-06","Jun",21.1550018779575,21.7901726549552,20.5455326610489,21.8783892300425,22.454179783141,21.3461057023644
"19",2013,7,"2013-07","Jul",20.9414383239887,21.620363146566,20.2869094209179,21.4307192471431,22.0546989051095,20.7665377674658
"20",2013,8,"2013-08","Aug",21.9837453533487,22.7244124025593,21.2680673407333,22.1444679849341,23.0167565139263,21.3735500650195
"21",2013,9,"2013-09","Sep",23.5390297198065,24.257233937919,22.8515630421761,24.211074535622,24.9979147358665,23.4141076886904
"22",2013,10,"2013-10","Oct",24.250003114128,24.921197678258,23.6192939410683,24.8695013529184,25.5871553463349,24.208075221239
"23",2013,11,"2013-11","Nov",24.469976555353,25.1063513366784,23.8734168087909,24.8650382198362,25.489589659191,24.2552115051058
"24",2013,12,"2013-12","Dec",24.9027190574761,25.5324205507136,24.3135281795895,25.2647951280543,25.8920560747663,24.7061383054097
"25",2014,1,"2014-01","Jan",24.7521241083739,25.3824164181199,24.15991653819,25.1198961038961,25.7617084678421,24.5327325864588
"26",2014,2,"2014-02","Feb",24.958053404288,25.6005651539037,24.35679986015,25.3033986603821,25.9212797619047,24.7334242499381
"27",2014,3,"2014-03","Mar",24.4829566391034,25.099732907374,23.9030767535745,25.0101507990097,25.6604185418542,24.4560911897411
"28",2014,4,"2014-04","Apr",23.5313260063549,24.1470088116425,22.9538937673506,24.2954325761237,24.917419509851,23.6883333333333
"29",2014,5,"2014-05","May",22.0404885919819,22.6574842534208,21.4566456308051,22.6833632286996,23.3429225946467,22.1216666666667
"30",2014,6,"2014-06","Jun",21.1672205268637,21.8021027946616,20.558043773757,21.8783892300425,22.454179783141,21.3461057023644
"31",2014,7,"2014-07","Jul",20.9539796118072,21.6327599455415,20.2997289842309,21.4307192471431,22.0546989051095,20.7665377674658
"32",2014,8,"2014-08","Aug",21.9940625001588,22.7346984186695,21.2784195264449,22.1444679849341,23.0167565139263,21.3735500650195
"33",2014,9,"2014-09","Sep",23.5501674267524,24.2683058161598,22.8629152865262,24.211074535622,24.9979147358665,23.4141076886904
"34",2014,10,"2014-10","Oct",24.2599326508676,24.9316684861386,23.6287838302972,24.8474999642085,25.5828659209802,24.2041726241208
"35",2014,11,"2014-11","Nov",24.4599585262257,25.0963399661828,23.8634833184254,24.8554436581383,25.489537884119,24.2530850472485
"36",2014,12,"2014-12","Dec",24.8905112327926,25.5200513245791,24.3014432066695,25.2631189782657,25.8916666666666,24.6976254480287
"37",2015,1,"2015-01","Jan",25.2978093952175,25.9416689642898,24.6920308223275,25.5733698212625,26.2431872828478,24.9691393993725
"38",2015,2,"2015-02","Feb",25.1716461882032,25.8133362269726,24.5647499931268,25.5897549019608,26.2125903149099,24.9282905836753
"39",2015,3,"2015-03","Mar",24.6617737992254,25.2862114673319,24.0741657996788,25.3269750189604,25.962140326373,24.7275925618002
"40",2015,4,"2015-04","Apr",24.0962129740859,24.7274977110074,23.5001419214179,25.0028676029944,25.6624953703703,24.3678400630011
"41",2015,5,"2015-05","May",22.5179589716078,23.1165079777146,21.9497699910333,23.1818548387097,23.8474001857009,22.6775819872736
