"","ano_inter","mes_inter","mes_inter_int","month_inter","regiao","estado","age_ajusted_hospitalizations","hospitalizations","age_ajusted_deaths","deaths","lethality","age_ajusted_lethality"
"1",2012,"April","2012-04","Apr","CO","DF",17.109941878161,13.0548232447062,2.89586286374087,2.10387647332042,0.161157024793388,0.169250303967258
"2",2012,"April","2012-04","Apr","CO","GO",32.233487940106,27.6243351727781,2.14554658564864,1.70318958413243,0.0616554054054054,0.0665626565029308
"3",2012,"April","2012-04","Apr","CO","MS",21.766025992882,19.6860341984611,2.87482819652037,2.46809980995631,0.125373134328358,0.132078689856407
"4",2012,"April","2012-04","Apr","CO","MT",31.618735685469,25.7946696439809,2.6442321119037,1.86640466811736,0.0723562152133581,0.0836286478437184
"5",2012,"April","2012-04","Apr","N","AC",28.5589162046083,21.6969777251975,3.54202037832956,2.28389239212605,0.105263157894737,0.124025027874063
"6",2012,"April","2012-04","Apr","N","AM",24.8494981164257,17.4403464118507,2.75003513268913,1.85333381488332,0.106267029972752,0.110667632795019
"7",2012,"April","2012-04","Apr","N","AP",25.2036873861544,16.3945256965838,4.968147153445,2.69163854720033,0.164179104477612,0.197119853032864
"8",2012,"April","2012-04","Apr","N","PA",41.0275877245837,33.2904566933936,1.89113479332038,1.37651379457416,0.0413486005089059,0.0460942233800213
"9",2012,"April","2012-04","Apr","N","RO",36.8472252044599,27.5770673703926,5.67876089278901,3.54288712744627,0.128472222222222,0.154116378133723
"10",2012,"April","2012-04","Apr","N","RR",29.4918802623775,19.23014125083,7.38679403112716,3.99116139168169,0.207547169811321,0.250468738019068
"11",2012,"April","2012-04","Apr","N","TO",33.0037661835514,28.1385305458764,2.78428035021324,2.22438976647244,0.0790513833992095,0.084362503804214
"12",2012,"April","2012-04","Apr","NE","AL",11.9219013298038,10.5866197225701,2.42072150110305,2.06691146964463,0.195238095238095,0.203048275114595
"13",2012,"April","2012-04","Apr","NE","BA",19.6221905480154,19.1571566821741,1.56205334075117,1.52625698841497,0.0796703296703297,0.0796064708947168
"14",2012,"April","2012-04","Apr","NE","CE",19.8689628920735,19.7687026674757,1.98699911124162,2.01900604507966,0.102131438721137,0.100005175007615
"15",2012,"April","2012-04","Apr","NE","MA",32.2706024462287,30.437677496501,0.810085363570733,0.716471304706599,0.023538961038961,0.0251028893842484
"16",2012,"April","2012-04","Apr","NE","PB",14.9772420039165,15.6199848552366,1.75884560501899,1.90867645363241,0.122194513715711,0.117434545329444
"17",2012,"April","2012-04","Apr","NE","PE",13.248748975709,12.7561298804736,2.29747244256138,2.22354557549539,0.174311926605505,0.173410519496874
"18",2012,"April","2012-04","Apr","NE","PI",33.6310112108703,32.9427996728974,1.84923624423018,1.79247586455471,0.0544117647058824,0.0549860434655164
"19",2012,"April","2012-04","Apr","NE","RN",11.9401848900224,11.9633439502325,1.79131356814379,1.8195199924308,0.152091254752852,0.150023938878925
"20",2012,"April","2012-04","Apr","NE","SE",0.126653894406309,0.127721047148042,0.0293852863216872,0.0298568681644774,0.233766233766234,0.232012497202956
"21",2012,"April","2012-04","Apr","S","PR",28.4026918750679,27.450639064268,2.4009005025945,2.27639445898808,0.0829268292682927,0.0845307379017138
"22",2012,"April","2012-04","Apr","S","RS",28.6805667925503,31.0663837498838,3.4975450953896,3.89439763626554,0.125357288689261,0.121948255788936
"23",2012,"April","2012-04","Apr","S","SC",27.6686852473399,25.4186755415686,3.44251675774112,2.9955399015683,0.117847993168232,0.124419238824226
"24",2012,"April","2012-04","Apr","SE","ES",17.1854043676248,16.3634306109711,2.00809565677434,1.89263775741352,0.11566265060241,0.11684890351241
"25",2012,"April","2012-04","Apr","SE","MG",22.3599266180569,22.7308004754066,2.66972154708085,2.74752354656004,0.120872274143302,0.119397598779456
"26",2012,"April","2012-04","Apr","SE","RJ",8.96735655389264,9.48834724024037,2.0774203685697,2.27448753164975,0.239713774597496,0.231664744909459
"27",2012,"April","2012-04","Apr","SE","SP",16.0799682180118,15.802696214404,3.46934719435607,3.42052543735127,0.216452014956377,0.215755848974249
"28",2012,"August","2012-08","Aug","CO","DF",19.3103903331917,14.4034620096552,4.02037221490926,2.64333197930001,0.183520599250936,0.208197356218058
"29",2012,"August","2012-08","Aug","CO","GO",31.8414183210743,27.4143528952823,2.517849934851,2.0298286824592,0.0740425531914894,0.0790746790693227
"30",2012,"August","2012-08","Aug","CO","MS",29.8001764977609,26.8552765035723,6.17798903995941,5.40631386942812,0.201312910284464,0.20731384058828
"31",2012,"August","2012-08","Aug","CO","MT",31.2384979492087,25.1246782246567,3.46495906145875,2.39282649758636,0.0952380952380952,0.11091951562756
"32",2012,"August","2012-08","Aug","N","AC",22.882927240565,17.357582180158,3.51807999845112,2.51228163133866,0.144736842105263,0.15374256804936
"33",2012,"August","2012-08","Aug","N","AM",17.1340383201708,12.3555587658888,1.68724582782089,1.04547035711367,0.0846153846153846,0.0984733310555634
"34",2012,"August","2012-08","Aug","N","AP",16.5892627173278,11.0112486021832,1.91210603965465,0.978777653527392,0.0888888888888889,0.115261664863346
"35",2012,"August","2012-08","Aug","N","PA",26.4060482700435,22.5748262310163,1.57606457063816,1.16474244156275,0.0515947467166979,0.0596857414831789
"36",2012,"August","2012-08","Aug","N","RO",28.8012845855305,21.0658153523832,4.68238817324056,2.87261118441589,0.136363636363636,0.16257567121131
"37",2012,"August","2012-08","Aug","N","RR",41.7615910140039,24.8799273073428,7.29016113425425,3.78607589459565,0.152173913043478,0.174566173300477
