"","ano_inter","mes_inter","mes_inter_int","month_inter","regiao","age_ajusted_hospitalizations","hospitalizations","age_ajusted_deaths","deaths","lethality","age_ajusted_lethality"
"1",2012,"April","2012-04","Apr","CO",27.6262793896409,23.1595927536655,2.51826704839051,1.94339191367715,0.0839130434782609,0.0911547665493743
"2",2012,"April","2012-04","Apr","N",35.0189229318627,27.2442653096091,2.8245269223919,1.95107354536347,0.0716141001855288,0.0806571614977326
"3",2012,"April","2012-04","Apr","NE",7.00844463224947,6.96730000787797,0.6430395614351,0.643510515030725,0.0923615337796713,0.0917521069476876
"4",2012,"April","2012-04","Apr","S",28.2790088935737,28.4097770118106,3.07209337000589,3.08148374995829,0.108465608465608,0.108635114532038
"5",2012,"April","2012-04","Apr","SE",16.1214658618432,16.2247098375235,2.9167652474861,2.96414600568338,0.182693313801402,0.180924319939764
"6",2012,"August","2012-08","Aug","CO",29.2476320777685,24.4081968847327,3.65474679525265,2.7992899067474,0.114686468646865,0.124958724369029
"7",2012,"August","2012-08","Aug","N",24.6003076377466,19.7525442878876,2.25430590937119,1.55081959285068,0.0785123966942149,0.0916373056210157
"8",2012,"August","2012-08","Aug","NE",7.45938704369392,7.39347995358201,0.659570680949796,0.65835260269206,0.0890450243762547,0.0884215656174309
"9",2012,"August","2012-08","Aug","S",38.5688086657404,38.736505481183,3.62605527687157,3.64767507312135,0.094166343293235,0.0940152263529078
"10",2012,"August","2012-08","Aug","SE",20.8652679189392,20.9968830459863,3.49528527759339,3.54644960244707,0.16890362225097,0.167516913330442
"11",2012,"December","2012-12","Dec","CO",23.3426369886457,19.0412129987746,2.95045082392058,2.26561233459771,0.118984664198837,0.126397494222942
"12",2012,"December","2012-12","Dec","N",21.44808077551,17.0339840618521,2.01983984251982,1.40517732023587,0.0824925816023739,0.0941734537304673
"13",2012,"December","2012-12","Dec","NE",5.55893988764271,5.51913631177917,0.647569567408982,0.647751111505392,0.117364579331541,0.116491557832547
"14",2012,"December","2012-12","Dec","S",24.7882498755928,24.8823549630778,3.19257401166387,3.20674731702976,0.128876359242851,0.128793844974403
"15",2012,"December","2012-12","Dec","SE",15.9130657855021,16.049848990682,3.40250800519702,3.46496105246265,0.215887455045483,0.213818509334445
"16",2012,"February","2012-02","Feb","CO",25.851744145283,21.6693233069079,2.82478528866236,2.15484906490627,0.0994423791821561,0.109268654091092
"17",2012,"February","2012-02","Feb","N",23.8534512030371,19.3186608559046,2.01780885954427,1.41528650959008,0.0732600732600733,0.0845919042225368
"18",2012,"February","2012-02","Feb","NE",5.77920955535124,5.73964732846186,0.566662400061484,0.565059480249385,0.0984484669375693,0.0980518866177443
"19",2012,"February","2012-02","Feb","S",24.239488506982,24.3462268960119,3.20613107585278,3.23180003044406,0.132743362831858,0.132268924524925
"20",2012,"February","2012-02","Feb","SE",14.9224965318284,15.029544437752,2.9101197165212,2.95735529318468,0.196769456681351,0.195015606826523
"21",2012,"January","2012-01","Jan","CO",25.9768932345582,21.8203641292144,2.93778355149514,2.27568172275148,0.104291647438856,0.11309218253963
"22",2012,"January","2012-01","Jan","N",25.7834628960672,20.5924187145357,1.88912778981917,1.28386704798529,0.062346588119784,0.0732689707908599
"23",2012,"January","2012-01","Jan","NE",6.63847959882825,6.6026087110566,0.622857996184711,0.623367681776057,0.0944123314065511,0.0938253988601021
"24",2012,"January","2012-01","Jan","S",26.9526015010547,27.1020253715844,3.17028979944863,3.19672623166404,0.11795156221113,0.117624630755015
"25",2012,"January","2012-01","Jan","SE",16.0551114604336,16.1347328969157,2.76218235670029,2.79947122758986,0.173505892255892,0.172043798232572
"26",2012,"July","2012-07","Jul","CO",34.1378734325385,28.5165072514699,3.57436528215915,2.70866541336349,0.0949858757062147,0.104703806147229
"27",2012,"July","2012-07","Jul","N",26.4080517237203,20.7339473654947,2.16510542450782,1.48605083506959,0.0716723549488055,0.0819865640661056
"28",2012,"July","2012-07","Jul","NE",7.7776049928574,7.7157652856567,0.728244394743767,0.729382593642733,0.0945314646881011,0.0936335022687002
"29",2012,"July","2012-07","Jul","S",53.401761703612,53.6879648468342,5.22643581427937,5.2560592743191,0.0979001399906673,0.097870101051851
"30",2012,"July","2012-07","Jul","SE",25.9459877232855,26.1204756262569,4.28933408798859,4.36982349291468,0.167294943455089,0.165317818451717
"31",2012,"June","2012-06","Jun","CO",32.7890427992382,27.4088745545554,3.42759896890524,2.58783275551828,0.0944158706833211,0.104534889593815
"32",2012,"June","2012-06","Jun","N",26.4081551611815,20.7642749335574,2.42633003519215,1.6983438115081,0.0817916260954236,0.0918780588944252
"33",2012,"June","2012-06","Jun","NE",7.03821483152823,6.9757812008273,0.687122821735238,0.689096927133396,0.0987841945288754,0.0976274294238957
"34",2012,"June","2012-06","Jun","S",45.5857081873445,45.8614971762085,4.60168150192789,4.62974143896172,0.100950508030154,0.100945706119476
"35",2012,"June","2012-06","Jun","SE",22.5670144062693,22.7268170550306,3.94531357760738,4.00652037423413,0.176290431015164,0.174826563522348
"36",2012,"March","2012-03","Mar","CO",27.5661357564565,23.0991764247429,3.17518492880151,2.4871388739806,0.10767218831735,0.11518425929749
"37",2012,"March","2012-03","Mar","N",36.8722429651919,29.1043561507846,2.81127233828604,1.94096435600926,0.066689822855158,0.0762435944279261
"38",2012,"March","2012-03","Mar","NE",6.86064674174744,6.80721749095929,0.59899588493752,0.596863953809388,0.0876810465659555,0.0873089531476086
"39",2012,"March","2012-03","Mar","S",28.2549846888113,28.3847242983963,3.38703331529366,3.40716902434412,0.120035304501324,0.119873832974855
